TURN 1
Rex -> move_west
RexM3 -> move_south
RexM4 -> rest
RexM5 -> move_east
RexM6 -> rest
RexM7 -> rest
RexM8 -> rest
Chief2 -> eat
F2d -> rest
S002M2 -> move_south
S002M3 -> rest
S002M4 -> move_west
S002M5 -> move_south
Chief3 -> eat
F3d -> rest
S003M2 -> move_south
S003M3 -> eat
S003M4 -> move_west
S003M5 -> rest
Iris -> child
Juno -> child

Food remaining: 115

TURN 10
Town4 -> rest
Town5 -> rest
Rex -> move_east
RexM3 -> move_east
RexM4 -> rest
RexM5 -> move_south
RexM6 -> rest
RexM7 -> rest
RexM8 -> rest
Chief2 -> talk_to_F2d
F2d -> rest
S002M2 -> buffer
S002M3 -> rest
S002M4 -> move_north
S002M5 -> move_east
Chief3 -> talk_to_F3d
F3d -> rest
S003M2 -> buffer
S003M3 -> rest
S003M4 -> rest
S003M5 -> rest
Iris -> child
Juno -> child

Food remaining: 115

TURN 11
Town4 -> eat
Town5 -> eat
Rex -> move_west
RexM3 -> move_east
RexM4 -> move_west
RexM5 -> move_west
RexM6 -> move_north
RexM7 -> move_north
RexM8 -> eat
Chief2 -> talk_to_Iris
S002M2 -> move_west
S002M3 -> rest
S002M4 -> move_south
S002M5 -> move_west
Chief3 -> talk_to_F3d
F3d -> eat
S003M2 -> move_west
S003M3 -> rest
S003M4 -> move_south
S003M5 -> rest
Iris -> child
Juno -> child

Food remaining: 111

TURN 12
Town4 -> rest
Town5 -> rest
Rex -> move_east
RexM3 -> eat
RexM4 -> eat
RexM5 -> move_east
RexM6 -> move_south
RexM7 -> move_east
RexM8 -> rest
Chief2 -> talk_to_Iris
S002M2 -> move_south
S002M3 -> move_east
S002M4 -> move_south
S002M5 -> move_south
Chief3 -> talk_to_F3d
F3d -> rest
S003M2 -> move_north
S003M3 -> rest
S003M4 -> move_south
S003M5 -> move_west
Iris -> child
Juno -> child

Food remaining: 109

TURN 13
Town4 -> rest
Town5 -> rest
Rex -> eat
RexM3 -> rest
RexM4 -> rest
RexM5 -> move_south
RexM6 -> move_north
RexM7 -> move_north
RexM8 -> rest
Chief2 -> talk_to_Iris
S002M2 -> move_south
S002M3 -> eat
S002M4 -> move_north
S002M5 -> move_east
Chief3 -> talk_to_F3d
F3d -> rest
S003M2 -> move_south
S003M3 -> rest
S003M4 -> eat
S003M5 -> move_north
Iris -> child
Juno -> child

Food remaining: 106

TURN 14
Town4 -> rest
Town5 -> rest
Rex -> move_west
RexM3 -> rest
RexM4 -> rest
RexM5 -> move_south
RexM6 -> move_south
RexM7 -> move_east
RexM8 -> rest
Chief2 -> eat
S002M2 -> move_south
S002M3 -> rest
S002M4 -> move_north
S002M5 -> move_south
Chief3 -> eat
F3d -> rest
S003M2 -> move_south
S003M3 -> move_east
S003M4 -> rest
S003M5 -> move_south
Iris -> child
Juno -> child

Food remaining: 104

TURN 15
Town4 -> rest
Town5 -> rest
Rex -> move_east
RexM3 -> rest
RexM4 -> rest
RexM6 -> move_north
RexM7 -> move_north
RexM8 -> rest
Chief2 -> talk_to_Iris
S002M2 -> move_north
S002M3 -> rest
S002M4 -> buffer
S002M5 -> buffer
Chief3 -> talk_to_Juno
S003M2 -> move_north
S003M3 -> eat
S003M4 -> rest
S003M5 -> move_north
Iris -> child
Juno -> child

Food remaining: 107

TURN 16
Rex -> move_west
RexM4 -> rest
RexM6 -> buffer
RexM7 -> buffer
RexM8 -> eat
Chief2 -> talk_to_Iris
S002M2 -> eat
S002M3 -> rest
S002M4 -> move_south
S002M5 -> rest
Chief3 -> talk_to_Juno
S003M2 -> move_south
S003M3 -> rest
S003M4 -> rest
S003M5 -> move_south
Iris -> child
Juno -> child

Food remaining: 119

TURN 17
Rex -> eat
RexM4 -> eat
RexM6 -> rest
RexM7 -> move_east
RexM8 -> rest
Chief2 -> talk_to_Iris
S002M2 -> rest
S002M3 -> rest
S002M4 -> move_south
S002M5 -> eat
Chief3 -> talk_to_Juno
S003M2 -> buffer
S003M3 -> rest
S003M4 -> rest
S003M5 -> move_west
Iris -> child
Juno -> child

Food remaining: 116

TURN 18
Rex -> move_south
RexM4 -> rest
RexM6 -> eat
RexM7 -> move_east
RexM8 -> rest
Chief2 -> talk_to_Iris
S002M2 -> move_south
S002M3 -> move_east
S002M4 -> move_south
S002M5 -> rest
Chief3 -> talk_to_Juno
S003M2 -> move_north
S003M3 -> rest
S003M4 -> eat
S003M5 -> buffer
Iris -> child
Juno -> child

Food remaining: 114

TURN 19
Rex -> eat
RexM4 -> rest
RexM6 -> rest
RexM7 -> move_north
RexM8 -> rest
Chief2 -> move_north
S002M2 -> rest
S002M3 -> eat
S002M4 -> move_north
S002M5 -> rest
Chief3 -> move_north
S003M2 -> move_south
S003M3 -> rest
S003M4 -> rest
S003M5 -> move_south
Iris -> child
Juno -> child

Food remaining: 112

TURN 20
Rex -> move_south
RexM4 -> rest
RexM6 -> rest
RexM7 -> move_south
RexM8 -> rest
Chief2 -> eat
S002M2 -> rest
S002M3 -> rest
S002M4 -> move_south
S002M5 -> rest
Chief3 -> eat
S003M2 -> move_north
S003M3 -> eat
S003M4 -> rest
S003M5 -> move_south
Iris -> child
Juno -> child

Food remaining: 109

TURN 21
Rex -> eat
RexM4 -> rest
RexM6 -> rest
RexM7 -> move_north
RexM8 -> eat
Chief2 -> move_west
S002M2 -> move_north
S002M3 -> rest
S002M4 -> move_north
S002M5 -> rest
Chief3 -> move_west
S003M2 -> move_south
S003M3 -> rest
S003M4 -> rest
S003M5 -> move_east
Iris -> child
Juno -> child

Food remaining: 107

*** Kade was born to Chief2 and Iris on turn 21 ***

*** Lena was born to Chief3 and Juno on turn 21 ***

TURN 22
Rex -> move_south
RexM4 -> move_south
RexM6 -> rest
RexM7 -> move_south
RexM8 -> rest
Chief2 -> eat
S002M2 -> move_south
S002M3 -> rest
S002M4 -> starved
S002M5 -> eat
Chief3 -> eat
S003M2 -> move_south
S003M3 -> rest
S003M4 -> rest
S003M5 -> eat
Iris -> eat
Juno -> eat
Kade -> child
Lena -> child

Food remaining: 101

TURN 23
Rex -> eat
RexM4 -> eat
RexM7 -> starved
RexM8 -> rest
Chief2 -> talk_to_Iris
S002M2 -> move_north
S002M3 -> rest
S002M5 -> rest
Chief3 -> move_east
S003M2 -> move_north
S003M3 -> rest
S003M4 -> move_north
S003M5 -> rest
Iris -> ally_with_Chief2
Kade -> child
Lena -> child

Food remaining: 99

TURN 24
Rex -> move_south
RexM4 -> rest
RexM8 -> rest
Chief2 -> talk_to_Iris
S002M2 -> move_south
S002M3 -> move_south
S002M5 -> rest
Chief3 -> ally_with_Lena
S003M2 -> starved
S003M3 -> rest
S003M4 -> move_south
S003M5 -> rest
Iris -> talk_to_Chief2
Kade -> child
Lena -> child

Food remaining: 99

TURN 25
Rex -> eat
RexM4 -> rest
RexM8 -> rest
Chief2 -> talk_to_Iris
S002M2 -> move_north
S002M3 -> eat
S002M5 -> rest
Chief3 -> talk_to_Lena
S003M3 -> move_east
S003M4 -> move_north
S003M5 -> rest
Iris -> move_west
Kade -> child
Lena -> child

Food remaining: 97

TURN 26
Rex -> move_north
RexM4 -> rest
RexM8 -> move_south
Chief2 -> move_north
S002M2 -> buffer
S002M3 -> rest
S002M5 -> rest
Chief3 -> move_east
S003M3 -> eat
S003M4 -> move_south
S003M5 -> rest
Iris -> eat
Kade -> child
Lena -> child

Food remaining: 95

TURN 27
Rex -> move_north
RexM4 -> rest
RexM8 -> eat
Chief2 -> eat
S002M2 -> move_east
S002M3 -> rest
S002M5 -> move_south
Chief3 -> eat
S003M3 -> rest
S003M4 -> move_north
S003M5 -> move_south
Iris -> move_north
Kade -> child
Lena -> child

Food remaining: 92

TURN 28
Rex -> move_east
RexM4 -> move_south
RexM8 -> rest
Chief2 -> ally_with_Kade
S002M2 -> move_east
S002M3 -> rest
S002M5 -> eat
Chief3 -> move_west
S003M3 -> rest
S003M4 -> buffer
S003M5 -> eat
Iris -> eat
Kade -> child
Lena -> child

Food remaining: 89

TURN 29
Rex -> eat
RexM4 -> eat
RexM8 -> rest
Chief2 -> talk_to_Kade
S002M2 -> move_east
S002M3 -> rest
S002M5 -> rest
Chief3 -> talk_to_Lena
S003M3 -> rest
S003M4 -> move_south
S003M5 -> rest
Iris -> move_east
Kade -> child
Lena -> child

Food remaining: 87

TURN 30
Rex -> move_west
RexM4 -> rest
RexM8 -> rest
Chief2 -> move_north
S002M2 -> eat
S002M3 -> eat
S002M5 -> rest
Chief3 -> move_west
S003M3 -> rest
S003M4 -> move_south
S003M5 -> rest
Iris -> move_north
Kade -> child
Lena -> child

Food remaining: 85

TURN 31
Rex -> move_east
RexM4 -> rest
RexM8 -> rest
Chief2 -> eat
S002M2 -> rest
S002M3 -> rest
S002M5 -> rest
Chief3 -> move_north
S003M3 -> move_south
S003M4 -> move_north
S003M5 -> rest
Iris -> ally_with_Kade
Kade -> child
Lena -> child

Food remaining: 84

*** Milo was born to Chief2 and Iris on turn 31 ***

TURN 32
Rex -> move_west
RexM4 -> rest
RexM8 -> move_south
Chief2 -> talk_to_Iris
S002M2 -> rest
S002M3 -> rest
S002M5 -> rest
Chief3 -> eat
S003M3 -> eat
S003M4 -> move_south
S003M5 -> rest
Iris -> move_west
Kade -> child
Lena -> child
Milo -> child

Food remaining: 82

TURN 33
Rex -> move_east
RexM4 -> rest
RexM8 -> eat
Chief2 -> move_west
S002M2 -> rest
S002M3 -> rest
S002M5 -> eat
Chief3 -> talk_to_Lena
S003M3 -> rest
S003M4 -> move_north
S003M5 -> move_south
Iris -> eat
Kade -> child
Lena -> child
Milo -> child

Food remaining: 79

TURN 34
Rex -> eat
RexM4 -> move_south
RexM8 -> rest
Chief2 -> eat
S002M2 -> rest
S002M3 -> rest
S002M5 -> rest
Chief3 -> talk_to_Lena
S003M3 -> rest
S003M4 -> move_south
S003M5 -> eat
Iris -> talk_to_Chief2
Kade -> child
Lena -> child
Milo -> child

Food remaining: 76

TURN 35
Rex -> move_west
RexM4 -> eat
RexM8 -> rest
Chief2 -> ally_with_Milo
S002M2 -> move_south
S002M3 -> move_south
S002M5 -> rest
Chief3 -> move_north
S003M3 -> rest
S003M4 -> starved
S003M5 -> rest
Iris -> talk_to_Chief2
Kade -> child
Lena -> child
Milo -> child

Food remaining: 75

TURN 36
Rex -> move_east
RexM4 -> rest
RexM8 -> rest
Chief2 -> talk_to_Iris
S002M2 -> eat
S002M3 -> eat
S002M5 -> rest
Chief3 -> eat
S003M3 -> rest
S003M5 -> rest
Iris -> move_west
Kade -> child
Lena -> child
Milo -> child

Food remaining: 72

TURN 37
Rex -> move_west
RexM4 -> rest
RexM8 -> rest
Chief2 -> talk_to_Milo
S002M2 -> rest
S002M3 -> rest
S002M5 -> rest
Chief3 -> move_east
S003M3 -> move_south
S003M5 -> rest
Iris -> move_south
Kade -> child
Lena -> child
Milo -> child

Food remaining: 72

*** Nell was born to Chief3 and Lena on turn 37 ***

TURN 38
Rex -> move_west
RexM4 -> rest
RexM8 -> move_south
Chief2 -> talk_to_Milo
S002M2 -> rest
S002M3 -> rest
S002M5 -> move_east
Chief3 -> eat
S003M3 -> eat
S003M5 -> rest
Iris -> eat
Kade -> eat
Lena -> eat
Milo -> child
Nell -> child

Food remaining: 67

TURN 39
Rex -> eat
RexM4 -> rest
RexM8 -> eat
Chief2 -> move_east
S002M2 -> rest
S002M3 -> move_south
S002M5 -> eat
Chief3 -> ally_with_Nell
S003M3 -> rest
S003M5 -> move_south
Iris -> move_east
Kade -> move_west
Lena -> ally_with_Chief3
Milo -> child
Nell -> child

Food remaining: 64

TURN 40
Rex -> move_east
RexM4 -> move_south
RexM8 -> rest
Chief2 -> eat
S002M2 -> rest
S002M3 -> rest
S002M5 -> rest
Chief3 -> talk_to_Lena
S003M3 -> rest
S003M5 -> eat
Iris -> move_north
Kade -> ally_with_Chief2
Lena -> talk_to_Chief3
Milo -> child
Nell -> child

Food remaining: 62

TURN 41
Rex -> move_east
RexM4 -> eat
RexM8 -> rest
Chief2 -> talk_to_Kade
S002M2 -> move_south
S002M3 -> move_south
S002M5 -> rest
Chief3 -> talk_to_Lena
S003M3 -> rest
S003M5 -> rest
Iris -> move_south
Kade -> move_east
Lena -> move_south
Milo -> child
Nell -> child

Food remaining: 61

*** Orin was born to Chief2 and Iris on turn 41 ***

TURN 42
Rex -> move_west
RexM4 -> rest
RexM8 -> rest
Chief2 -> ally_with_Orin
S002M2 -> eat
S002M3 -> eat
S002M5 -> rest
Chief3 -> talk_to_Nell
S003M3 -> rest
S003M5 -> rest
Iris -> move_north
Kade -> move_east
Lena -> move_north
Milo -> child
Nell -> child
Orin -> child

Food remaining: 59

TURN 43
Rex -> move_east
RexM4 -> rest
RexM8 -> rest
Chief2 -> talk_to_Orin
S002M2 -> rest
S002M3 -> rest
S002M5 -> rest
Chief3 -> eat
S003M3 -> move_south
S003M5 -> rest
Iris -> move_south
Kade -> eat
Lena -> move_west
Milo -> child
Nell -> child
Orin -> child

Food remaining: 57

TURN 44
Rex -> eat
RexM4 -> rest
RexM8 -> eat
Chief2 -> talk_to_Orin
S002M2 -> rest
S002M3 -> rest
S002M5 -> move_south
Chief3 -> talk_to_Nell
S003M3 -> eat
S003M5 -> rest
Iris -> move_south
Kade -> move_west
Lena -> eat
Milo -> child
Nell -> child
Orin -> child

Food remaining: 53

TURN 45
Rex -> move_west
RexM4 -> rest
RexM8 -> rest
Chief2 -> move_east
S002M2 -> rest
S002M3 -> rest
S002M5 -> eat
Chief3 -> talk_to_Nell
S003M3 -> rest
S003M5 -> move_south
Iris -> eat
Kade -> talk_to_Chief2
Lena -> ally_with_Nell
Milo -> child
Nell -> child
Orin -> child

Food remaining: 51

TURN 46
Rex -> move_east
RexM4 -> move_south
RexM8 -> rest
Chief2 -> eat
S002M2 -> rest
S002M3 -> rest
S002M5 -> rest
Chief3 -> talk_to_Nell
S003M3 -> rest
S003M5 -> eat
Iris -> move_north
Kade -> move_east
Lena -> talk_to_Nell
Milo -> child
Nell -> child
Orin -> child

Food remaining: 49

TURN 47
Rex -> move_west
RexM4 -> eat
RexM8 -> rest
Chief2 -> move_east
S002M3 -> move_south
S002M5 -> rest
Chief3 -> talk_to_Nell
S003M3 -> rest
S003M5 -> rest
Iris -> move_east
Kade -> move_south
Lena -> move_south
Milo -> child
Nell -> child
Orin -> child

Food remaining: 49

*** Pia was born to Chief3 and Lena on turn 47 ***

TURN 48
Rex -> move_east
RexM4 -> rest
RexM8 -> rest
Chief2 -> eat
S002M3 -> eat
S002M5 -> rest
Chief3 -> eat
S003M3 -> rest
S003M5 -> rest
Iris -> move_east
Kade -> eat
Lena -> ally_with_Pia
Milo -> move_east
Nell -> child
Orin -> child
Pia -> child

Food remaining: 45

TURN 49
Rex -> move_south
RexM4 -> rest
RexM8 -> move_south
Chief2 -> move_south
S002M3 -> rest
S002M5 -> rest
Chief3 -> talk_to_Nell
S003M3 -> move_south
S003M5 -> rest
Iris -> talk_to_Kade
Kade -> ally_with_Iris
Lena -> eat
Milo -> move_east
Nell -> child
Orin -> child
Pia -> child

Food remaining: 44

TURN 50
Rex -> eat
RexM4 -> rest
RexM8 -> eat
Chief2 -> talk_to_Kade
S002M3 -> rest
S002M5 -> eat
Chief3 -> talk_to_Nell
S003M3 -> eat
S003M5 -> rest
Iris -> move_south
Kade -> talk_to_Chief2
Lena -> move_east
Milo -> eat
Nell -> child
Orin -> child
Pia -> child

Food remaining: 39

TURN 51
Rex -> move_west
RexM4 -> rest
RexM8 -> rest
Chief2 -> talk_to_Kade
S002M3 -> rest
S002M5 -> rest
Chief3 -> talk_to_Nell
S003M3 -> rest
S003M5 -> move_south
Iris -> move_east
Kade -> move_west
Lena -> move_north
Milo -> move_south
Nell -> child
Orin -> child
Pia -> child

Food remaining: 39

TURN 52
Rex -> move_west
RexM4 -> move_south
RexM8 -> rest
Chief2 -> move_south
S002M3 -> rest
S002M5 -> rest
Chief3 -> talk_to_Lena
S003M3 -> rest
S003M5 -> eat
Iris -> eat
Kade -> move_south
Lena -> move_east
Milo -> move_south
Nell -> child
Orin -> child
Pia -> child

Food remaining: 37

TURN 53
Rex -> eat
RexM4 -> eat
RexM8 -> rest
Chief2 -> move_north
S002M3 -> move_south
S002M5 -> rest
Chief3 -> move_north
S003M3 -> rest
S003M5 -> rest
Iris -> move_north
Kade -> move_south
Lena -> move_north
Milo -> ally_with_Chief2
Nell -> child
Orin -> child
Pia -> child

Food remaining: 35

TURN 54
Rex -> move_east
RexM4 -> rest
RexM8 -> rest
Chief2 -> move_north
S002M3 -> eat
S002M5 -> rest
Chief3 -> eat
S003M3 -> rest
S003M5 -> rest
Iris -> move_north
Kade -> move_west
Lena -> eat
Milo -> ally_with_Iris
Nell -> eat
Orin -> child
Pia -> child

Food remaining: 31

*** Quin was born to Iris and Milo on turn 54 ***

TURN 55
Rex -> move_west
RexM4 -> rest
RexM8 -> eat
Chief2 -> move_north
S002M3 -> rest
Chief3 -> move_south
S003M3 -> eat
S003M5 -> rest
Iris -> ally_with_Milo
Kade -> eat
Lena -> talk_to_Chief3
Milo -> move_south
Orin -> child
Pia -> child
Quin -> child

Food remaining: 45

TURN 56
Rex -> move_east
RexM4 -> rest
RexM8 -> rest
Chief2 -> move_south
S002M3 -> rest
Chief3 -> eat
S003M3 -> rest
S003M5 -> rest
Iris -> move_south
Kade -> move_east
Lena -> talk_to_Chief3
Milo -> move_north
Orin -> child
Pia -> child
Quin -> child

Food remaining: 44

TURN 57
Rex -> move_west
RexM4 -> rest
RexM8 -> rest
Chief2 -> move_south
S002M3 -> rest
Chief3 -> talk_to_Lena
S003M3 -> rest
S003M5 -> move_south
Iris -> eat
Kade -> move_north
Lena -> move_north
Milo -> move_south
Orin -> child
Pia -> child
Quin -> child

Food remaining: 43

*** Rhea was born to Chief3 and Lena on turn 57 ***

TURN 58
Rex -> eat
RexM4 -> move_east
RexM8 -> rest
Chief2 -> starved
S002M3 -> rest
Chief3 -> ally_with_Rhea
S003M3 -> rest
S003M5 -> eat
Iris -> talk_to_Milo
Kade -> talk_to_Milo
Lena -> eat
Milo -> move_north
Orin -> move_south
Pia -> child
Quin -> child
Rhea -> child

Food remaining: 40

TURN 59
Rex -> move_north
RexM4 -> eat
RexM8 -> rest
S002M3 -> eat
Chief3 -> talk_to_Rhea
S003M3 -> rest
S003M5 -> rest
Iris -> move_west
Kade -> talk_to_Iris
Lena -> move_west
Milo -> move_east
Orin -> move_south
Pia -> child
Quin -> child
Rhea -> child

Food remaining: 38

TURN 60
Rex -> move_west
RexM4 -> rest
RexM8 -> eat
Chief3 -> talk_to_Lena
S003M3 -> eat
S003M5 -> rest
Iris -> move_west
Kade -> move_west
Lena -> talk_to_Chief3
Milo -> starved
Orin -> eat
Pia -> child
Quin -> child
Rhea -> child

Food remaining: 41

TURN 61
Rex -> eat
RexM4 -> rest
RexM8 -> rest
Chief3 -> move_south
S003M3 -> rest
S003M5 -> rest
Iris -> ally_with_Orin
Kade -> move_west
Lena -> move_south
Orin -> ally_with_Iris
Pia -> child
Quin -> child
Rhea -> child

Food remaining: 40

TURN 62
Rex -> move_east
RexM4 -> rest
RexM8 -> rest
S003M3 -> rest
S003M5 -> rest
Iris -> move_south
Kade -> eat
Orin -> talk_to_Kade
Pia -> child
Quin -> child
Rhea -> child

Food remaining: 39

TURN 63
Rex -> move_west
RexM4 -> rest
RexM8 -> rest
S003M3 -> rest
S003M5 -> move_south
Iris -> move_south
Kade -> talk_to_Orin
Orin -> move_east
Pia -> child
Quin -> child
Rhea -> child

Food remaining: 39

TURN 64
Rex -> move_east
RexM4 -> eat
RexM8 -> rest
S003M3 -> rest
S003M5 -> eat
Iris -> move_west
Kade -> talk_to_Iris
Orin -> move_south
Pia -> move_west
Quin -> child
Rhea -> child

Food remaining: 37

TURN 65
Rex -> move_west
RexM4 -> rest
RexM8 -> move_east
S003M3 -> eat
S003M5 -> rest
Iris -> eat
Kade -> ally_with_Orin
Orin -> move_south
Pia -> eat
Quin -> child
Rhea -> child

Food remaining: 34

TURN 66
RexM4 -> rest
RexM8 -> eat
S003M3 -> rest
S003M5 -> rest
Iris -> talk_to_Kade
Kade -> talk_to_Iris
Orin -> move_north
Pia -> move_east
Quin -> child
Rhea -> child

Food remaining: 33

TURN 67
RexM4 -> rest
RexM8 -> rest
S003M3 -> rest
S003M5 -> rest
Iris -> talk_to_Kade
Kade -> move_west
Orin -> move_west
Pia -> talk_to_Rhea
Quin -> child
Rhea -> child

Food remaining: 33

TURN 68
RexM4 -> rest
RexM8 -> rest
S003M3 -> rest
S003M5 -> rest
Iris -> talk_to_Orin
Kade -> eat
Orin -> move_north
Pia -> move_west
Quin -> child
Rhea -> child

Food remaining: 32

TURN 69
RexM4 -> move_east
RexM8 -> rest
S003M3 -> rest
S003M5 -> eat
Iris -> move_west
Kade -> talk_to_Iris
Orin -> move_south
Pia -> move_west
Quin -> child
Rhea -> child

Food remaining: 31

TURN 70
RexM4 -> eat
RexM8 -> rest
S003M3 -> move_south
Iris -> eat
Kade -> talk_to_Iris
Orin -> starved
Pia -> eat
Quin -> child
Rhea -> child

Food remaining: 28

TURN 71
RexM4 -> rest
RexM8 -> eat
S003M3 -> eat
Iris -> talk_to_Kade
Kade -> move_west
Pia -> move_east
Quin -> move_south
Rhea -> starved

Food remaining: 26

TURN 72
RexM4 -> rest
RexM8 -> rest
S003M3 -> rest
Iris -> move_west
Kade -> move_west
Pia -> move_north
Quin -> move_south

Food remaining: 26

TURN 73
RexM4 -> rest
RexM8 -> rest
S003M3 -> rest
Iris -> move_east
Kade -> move_west
Pia -> move_south
Quin -> move_south

Food remaining: 26

TURN 74
RexM4 -> rest
RexM8 -> rest
S003M3 -> rest
Iris -> move_west
Kade -> eat
Pia -> move_west
Quin -> move_south

Food remaining: 25

TURN 75
RexM4 -> eat
RexM8 -> rest
S003M3 -> rest
Iris -> move_north
Kade -> move_east
Pia -> eat
Quin -> move_east

Food remaining: 23

TURN 76
RexM4 -> move_south
RexM8 -> move_north
S003M3 -> move_south
Iris -> move_south
Kade -> move_east
Pia -> move_east
Quin -> starved

Food remaining: 23

TURN 77
RexM4 -> move_east
RexM8 -> eat
S003M3 -> eat
Iris -> move_south
Kade -> move_east
Pia -> move_east

Food remaining: 21

TURN 78
RexM4 -> rest
RexM8 -> rest
S003M3 -> rest
Iris -> move_west
Kade -> move_west
Pia -> move_east

Food remaining: 21

TURN 79
RexM4 -> rest
RexM8 -> rest
S003M3 -> rest
Iris -> move_south
Kade -> move_west
Pia -> move_east

Food remaining: 21

TURN 80
RexM4 -> move_east
RexM8 -> rest
S003M3 -> rest
Iris -> buffer
Kade -> move_north
Pia -> eat

Food remaining: 20

TURN 81
RexM4 -> eat
RexM8 -> rest
S003M3 -> rest
Iris -> move_north
Kade -> move_west
Pia -> move_north

Food remaining: 19

TURN 82
RexM4 -> rest
RexM8 -> move_east
S003M3 -> move_west
Iris -> move_north
Kade -> eat
Pia -> talk_to_RexM4

Food remaining: 18

TURN 83
RexM4 -> rest
RexM8 -> eat
S003M3 -> eat
Iris -> move_west
Kade -> move_east
Pia -> move_east

Food remaining: 16

TURN 84
RexM4 -> rest
RexM8 -> rest
S003M3 -> move_south
Iris -> move_north
Kade -> move_east
Pia -> eat

Food remaining: 15

TURN 85
RexM4 -> move_south
RexM8 -> rest
S003M3 -> move_south
Iris -> move_west
Kade -> move_east
Pia -> move_south

Food remaining: 15

TURN 86
RexM4 -> move_east
RexM8 -> rest
S003M3 -> rest
Iris -> eat
Kade -> move_west
